YEAR,AVERAGE_GDP
1947,249.6155
1948,274.46775
1949,272.47525
1950,299.82725
1951,346.91324999999995
1952,367.34074999999996
1953,389.21750000000003
1954,390.549
1955,425.47950000000003
1956,449.35249999999996
1957,474.0395
1958,481.2285
1959,521.6542499999999
1960,542.38225
1961,562.20975
1962,603.9214999999999
1963,637.4515
1964,684.4615
1965,742.29025
1966,813.41375
1967,859.9562499999998
1968,940.6465000000001
1969,1017.615
1970,1073.3105
1971,1164.8497499999999
1972,1279.112
1973,1425.376
1974,1545.2425
1975,1684.905
1976,1873.4125000000001
1977,2081.825
1978,2351.59875
1979,2627.32625
1980,2857.3085
1981,3207.04125
1982,3343.7892500000003
1983,3634.0365
1984,4037.6140000000005
1985,4338.980500000001
1986,4579.6325
1987,4855.2162499999995
1988,5236.438
1989,5641.5795
1990,5963.1445
1991,6158.12925
1992,6520.32725
1993,6858.5585
1994,7287.2365
1995,7639.74925
1996,8073.12175
1997,8577.552500000002
1998,9062.81675
1999,9631.17175
2000,10250.952
2001,10581.929
2002,10929.108250000001
2003,11456.449499999999
2004,12217.19575
2005,13039.197
2006,13815.583
2007,14474.226999999999
2008,14769.86175
2009,14478.06725
2010,15048.971000000001
2011,15599.7315
2012,16253.97
2013,16880.683250000002
2014,17608.13825
2015,18295.019
2016,18804.91325
2017,19612.1025
2018,20656.515499999998
2019,21539.9815
2020,21354.10475
2021,23681.17075
2022,26006.8925
2023,27720.7095
2024,28998.368
